Frequency (Hz)	V  in	V out	ratio
200	0.98	1	1.020408163
300	0.98	1.01	1.030612245
400	0.98	1.01	1.030612245
500	0.98	1.01	1.030612245
600	0.98	1.03	1.051020408
700	0.99	1.05	1.060606061
800	0.98	1.12	1.142857143
900	0.99	1.15	1.161616162
1000	0.96	1.15	1.197916667
1100	0.96	1.22	1.270833333
1200	0.96	1.27	1.322916667
1300	0.95	1.36	1.431578947
1400	0.96	1.44	1.5
1500	0.96	1.55	1.614583333
1600	0.95	1.72	1.810526316
1700	0.96	1.89	1.96875
1800	0.96	2.2	2.291666667
1900	0.96	2.59	2.697916667
2000	0.96	3.07	3.197916667
2050	0.96	3.44	3.583333333
2100	0.96	3.75	3.90625
2150	0.96	4.15	4.322916667
2200	0.96	4.48	4.666666667
2250	0.96	5.03	5.239583333
2300	0.98	5.11	5.214285714
2350	0.96	5.11	5.322916667
2400	0.96	4.8	5
2450	0.96	4.23	4.40625
2500	0.96	3.83	3.989583333
2600	0.96	2.88	3
2700	0.96	2.4	2.5
2800	0.96	1.91	1.989583333
2900	0.96	1.67	1.739583333
3000	0.96	1.4	1.458333333
3100	0.96	1.2	1.25
3200	0.96	1.12	1.166666667
3300	0.96	1.03	1.072916667
