Frequency (Hz)	v in aluminu	V out aluminium	ratio
200	0.96	0.96	1
300	0.95	0.98	1.031578947
400	0.96	1	1.041666667
500	0.96	1	1.041666667
600	0.96	1.03	1.072916667
700	0.96	1.05	1.09375
800	0.96	1.1	1.145833333
900	0.96	1.12	1.166666667
1000	0.96	1.15	1.197916667
1100	0.96	1.2	1.25
1200	0.96	1.25	1.302083333
1300	0.96	1.32	1.375
1400	0.96	1.41	1.46875
1500	0.96	1.5	1.5625
1600	0.96	1.63	1.697916667
1700	0.96	1.79	1.864583333
1800	0.96	2.03	2.114583333
1900	0.96	2.35	2.447916667
2000	0.96	2.68	2.791666667
2100	0.96	3.11	3.239583333
2150	0.96	3.44	3.583333333
2200	0.96	3.75	3.90625
2250	0.96	4.07	4.239583333
2300	0.96	4.32	4.5
2350	0.96	4.4	4.583333333
2400	0.96	4.4	4.583333333
2450	0.96	4.15	4.322916667
2500	0.96	3.83	3.989583333
2600	0.96	3.11	3.239583333
2700	0.96	2.55	2.65625
2800	0.96	2.07	2.15625
2900	0.96	1.84	1.916666667
3000	0.96	1.6	1.666666667
3100	0.96	1.36	1.416666667
3200	0.96	1.2	1.25
3300	0.96	1.03	1.072916667
3400	0.96	0.96	1
3500	0.96	0.88	0.916666667
