Frequency (Hz)	V in brass	V out in brass	ratio
200	0.96	0.96	1
300	0.95	0.97	1.021052632
400	0.96	1.01	1.052083333
500	0.97	1.01	1.041237113
600	0.96	1.05	1.09375
700	0.96	1.1	1.145833333
800	0.97	1.12	1.154639175
900	0.96	1.13	1.177083333
1000	0.97	1.15	1.18556701
1100	0.96	1.22	1.270833333
1200	0.96	1.27	1.322916667
1300	0.96	1.32	1.375
1400	0.96	1.44	1.5
1500	0.96	1.53	1.59375
1600	0.96	1.65	1.71875
1700	0.96	1.86	1.9375
1800	0.96	2.07	2.15625
1900	0.96	2.4	2.5
2000	0.96	2.75	2.864583333
2100	0.96	3.31	3.447916667
2150	0.96	3.51	3.65625
2200	0.96	3.75	3.90625
2250	0.96	4.07	4.239583333
2300	0.96	4.23	4.40625
2350	0.96	4.32	4.5
2400	0.96	4.15	4.322916667
2450	0.96	3.92	4.083333333
2500	0.96	3.59	3.739583333
2600	0.96	2.88	3
2700	0.96	2.4	2.5
2800	0.96	2	2.083333333
2900	0.96	1.75	1.822916667
3000	0.96	1.44	1.5
3100	0.96	1.36	1.416666667
3200	0.96	1.2	1.25
3300	0.96	1.03	1.072916667
3400	0.96	0.88	0.916666667
3500	0.96	0.88	0.916666667
