Frequency (Hz)	V in copper	V out copper	ratio
200	0.96	0.96	1
300	0.96	0.98	1.020833333
400	0.96	1	1.041666667
500	0.96	1.03	1.072916667
600	0.97	1.05	1.082474227
700	0.97	1.08	1.113402062
800	0.97	1.1	1.134020619
900	0.96	1.12	1.166666667
1000	0.94	1.13	1.20212766
1100	0.96	1.2	1.25
1200	0.96	1.25	1.302083333
1300	0.95	1.29	1.357894737
1400	0.96	1.39	1.447916667
1500	0.96	1.48	1.541666667
1600	0.96	1.62	1.6875
1700	0.96	1.77	1.84375
1800	0.96	2.03	2.114583333
1900	0.96	2.31	2.40625
2000	0.95	2.72	2.863157895
2100	0.95	3.16	3.326315789
2200	0.95	3.75	3.947368421
2300	0.96	4.4	4.583333333
2350	0.96	4.48	4.666666667
2400	0.96	4.48	4.666666667
2450	0.96	4.4	4.583333333
2500	0.96	4.07	4.239583333
2550	0.96	3.68	3.833333333
2600	0.96	3.1	2.78125
2700	0.96	2.55	2.65625
2800	0.96	2.07	2.15625
2900	0.96	1.84	1.916666667
3000	0.96	1.6	1.666666667
3100	0.96	1.36	1.416666667
3200	0.96	1.2	1.25
3300	0.96	1.03	1.072916667
3400	0.96	0.96	1
3500	0.96	0.88	0.916666667
