Frequency (Hz)	V in ferrite	V out ferrite	ratio
200	0.94	0.96	1.021276596
300	0.95	1	1.052631579
400	0.96	1.01	1.052083333
500	0.96	1.05	1.09375
600	0.96	1.08	1.125
700	0.96	1.15	1.197916667
800	0.96	1.22	1.270833333
900	0.96	1.29	1.34375
1000	0.96	1.37	1.427083333
1100	0.96	1.53	1.59375
1200	0.96	1.72	1.791666667
1300	0.96	2.03	2.114583333
1400	0.96	2.48	2.583333333
1500	0.96	3.11	3.239583333
1550	0.96	3.68	3.833333333
1600	0.96	4.4	4.583333333
1650	0.96	5.19	5.40625
1700	0.96	6.07	6.322916667
1750	0.96	6.55	6.822916667
1800	0.96	6	6.25
1850	0.96	5.03	5.239583333
1900	0.96	4.07	4.239583333
2000	0.96	2.88	3
2100	0.96	2.16	2.25
2200	0.96	1.67	1.739583333
2300	0.96	1.44	1.5
2400	0.96	1.12	1.166666667
2500	0.96	0.96	1
2600	0.96	0.88	0.916666667
