Frequency (Hz)	v in steel	v out steel	ratio
200	0.96	0.98	1.020833333
300	0.95	1.03	1.084210526
400	0.95	1.05	1.105263158
500	0.95	1.08	1.136842105
600	0.95	1.12	1.178947368
700	0.95	1.15	1.210526316
800	0.96	1.2	1.25
900	0.95	1.24	1.305263158
1000	0.95	1.32	1.389473684
1100	0.95	1.39	1.463157895
1200	0.95	1.51	1.589473684
1300	0.95	1.67	1.757894737
1400	0.96	1.86	1.9375
1500	0.96	2.16	2.25
1600	0.96	2.4	2.5
1700	0.96	2.72	2.833333333
1800	0.96	2.96	3.083333333
1850	0.96	2.96	3.083333333
1900	0.96	2.88	3
1950	0.96	2.79	2.90625
2000	0.96	2.64	2.75
2100	0.96	2.2	2.291666667
2200	0.96	1.91	1.989583333
2300	0.96	1.67	1.739583333
2400	0.96	1.44	1.5
2500	0.96	1.24	1.291666667
2600	0.96	1.12	1.166666667
2700	0.96	0.96	1

